[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1480485262.746000 11/29/2016, 9:54:22 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, pb6051
INFO, WEIGHT, 48.400
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: pb6051.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1480486323.351,,1.000000e+003,8.969650e+000,1.242932e-002,0.000000e+000,3,9.904438e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,5.823612e-002,0.000000e+000,0,1,0,
1480486335.191,,1.000000e+003,8.954825e+000,1.244383e-002,0.000000e+000,3,9.902231e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,2.641869e-002,0.000000e+000,0,1,0,
1480486428.948,,1.000000e+003,9.994172e+000,1.117766e-002,0.000000e+000,3,9.906392e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.657486e-002,0.000000e+000,0,0,0,
1480486440.133,,1.000000e+003,9.988531e+000,1.117835e-002,0.000000e+000,3,9.904881e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,5.292892e-003,0.000000e+000,0,0,0,
1480486453.248,,1.000000e+003,9.988181e+000,1.117290e-002,0.000000e+000,3,9.904196e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.023293e-002,0.000000e+000,0,0,0,
1480486545.459,,1.000000e+003,1.098688e+001,1.016274e-002,0.000000e+000,3,9.908623e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,5.102158e-004,0.000000e+000,0,0,0,
1480486560.174,,1.000000e+003,1.098380e+001,1.015781e-002,0.000000e+000,3,9.909411e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,3.499985e-004,0.000000e+000,0,0,0,
1480486574.454,,1.000000e+003,1.098293e+001,1.015513e-002,0.000000e+000,3,9.906736e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,3.499985e-004,0.000000e+000,0,0,0,
1480486668.631,,1.000000e+003,1.199337e+001,9.275945e-003,0.000000e+000,3,9.909726e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.600266e-003,0.000000e+000,0,0,0,
1480486683.796,,1.000000e+003,1.199245e+001,9.268762e-003,0.000000e+000,3,9.909766e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.910210e-003,0.000000e+000,0,0,0,
