[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765464791.22163,04/26/2019,7:27 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 399, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,K(18-c-6)_Er(hdcCOT)2,SAMPLE_MATERIAL
INFO,yellow crystalline powder,SAMPLE_COMMENT
INFO,7.2,SAMPLE_MASS
INFO,22.7,SAMPLE_VOLUME
INFO,839.24,SAMPLE_MOLECULAR_WEIGHT
INFO,-125.81E-6,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.54,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765465506.21791,14.0000157356262,0,,,5,,,,31.5000005066395,,,,,1.19802386703851E-6,1.36936229279102E-8,19.6800432390536,0.00949751365915759,5.98858099698857E-7,6.84505311640625E-9,5.63877541540948E-7,4.11717787229796E-9,2.01675833258876E-7,5.46841828450265E-9,2.00051375716709,94.2627868652344,2,188,1,5,0.00375949503550345,0.00188961235283909,0.0250477213412523,9.34246826171875,13.9993591308594,14.0005102157593,0,0,,,5.72263813018799,,1,,,,,,1,1,1,13.9998979568481,0,0,13.999994429675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465548.19384,13.9998564720154,0,,,5,,,,31.5000005066395,,,,,1.31271297876245E-6,1.35156849915112E-8,23.0769525124777,0.00934423917749995,6.56561969722836E-7,6.75995812012596E-9,6.04023383420008E-7,4.94944154207412E-9,2.57350679750757E-7,4.60435252858074E-9,1.99937407175229,74.4331207275391,2,148,1,5,0.00395584119006743,0.00236872605604679,0.024468295276165,11.8225708007813,13.9995012283325,14.0004949569702,0,0,,,5.70396280288696,,1,,,,,,1,1,1,13.9997110366821,0,0,13.9999790418716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465590.40337,13.9999151229858,0,,,5,,,,31.5000005066395,,,,,1.37084956111603E-6,1.14365492409356E-8,27.0612784067541,0.00958583089752546,6.8552748803935E-7,5.7191314753708E-9,6.10476259017028E-7,4.33686715943168E-9,3.11876055563931E-7,3.7282768236841E-9,1.99970035488546,58.8290672302246,2,117,1,5,0.0039103968191326,0.00281040019988321,0.0235915277153254,14.4718322753906,13.999436378479,14.0005311965942,0,0,,,5.68820762634277,,1,,,,,,1,1,1,13.9997663497925,0,0,13.9999877384731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465634.35522,13.9999656677246,0,,,5,,,,31.5000005066395,,,,,1.47088430005915E-6,9.00946501709771E-9,30.7758251045104,0.00820131809705849,7.35332675964831E-7,4.50406195767237E-9,6.31780089766701E-7,2.9056546703867E-9,3.76255315598302E-7,3.44147425604368E-9,2.0002977538421,46.4145660400391,2,92,1,5,0.00395516616842142,0.00332602712695808,0.022465243935585,17.1569213867187,13.9997158050537,14.0005865097046,0,0,,,5.66966962814331,,1,,,,,,1,1,1,13.9999618530273,0,0,13.999977610328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465676.41883,13.9999985694885,0,,,5,,,,31.5000005066395,,,,,1.64664042403667E-6,1.30929114036331E-8,34.5737073639745,0.0135229276332598,8.23374495410569E-7,6.54688732467411E-9,6.77963975289583E-7,4.01991750225456E-9,4.67236993293718E-7,5.16739749942328E-9,1.99986814410081,36.6577529907227,2,73,1,5,0.00414949727065326,0.0040329103429976,0.0210469979792833,19.5867004394531,13.9993467330933,14.0004014968872,0,0,,,5.6534948348999,,1,,,,,,1,1,1,14.000018119812,0,0,13.9999490465437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465718.56959,13.9999718666077,0,,,5,,,,31.5000005066395,,,,,1.79082111363102E-6,9.17213857736819E-9,37.6334702330602,0.0135822424551943,8.95268987345604E-7,4.58534420520902E-9,7.08993128611795E-7,3.48192518259238E-9,5.46658305785325E-7,2.98355132402192E-9,2.00031626130673,28.9266147613525,2,57,1,5,0.00428000362041131,0.00461566278147849,0.0194613058120012,21.4202270507813,13.9997339248657,14.000524520874,0,0,,,5.62350845336914,,1,,,,,,1,1,1,13.9999208450317,0,0,14.0000448908125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465760.63335,14.0000548362732,0,,,5,,,,31.5000005066395,,,,,2.05022851293747E-6,2.11508795766905E-8,40.5942161109773,0.0356222104184629,1.02507259683151E-6,1.05750100128521E-8,7.78375548165391E-7,8.33874853888794E-9,6.67012244859962E-7,6.50354592334962E-9,2.00008128134018,22.8596096038818,2,45,1,5,0.00466921447351806,0.00549206529735263,0.0178315844386816,22.31640625,13.9996700286865,14.0003843307495,0,0,,,5.62149524688721,,1,,,,,,1,1,1,13.9998826980591,0,0,14.0000011353266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465802.75073,13.9999632835388,0,,,5,,,,31.5000005066395,,,,,2.38240636258701E-6,1.34325383864032E-8,42.0575370467884,0.019908229867506,1.1912598988143E-6,6.71658897923272E-9,8.84477718353083E-7,5.09661461670874E-9,7.97997062814134E-7,4.37459563442169E-9,1.99990477725163,18.0577392578125,2,36,1,5,0.00535584061286446,0.00644444518703534,0.0162737350910902,22.1131896972656,13.9995784759521,14.0004415512085,0,0,,,5.610191822052,,1,,,,,,1,1,1,13.9999160766602,0,0,13.9999958447048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465844.87181,14.00004529953,0,,,5,,,,31.5000005066395,,,,,2.69230927905589E-6,1.82774753917104E-8,43.3810326760219,0.0272875453101095,1.34614210157124E-6,9.13865257851855E-9,9.78378887679831E-7,7.6722757223493E-9,9.24593591674203E-7,4.96499307060073E-9,2.00001862798392,14.2605514526367,2,28,1,5,0.00601629234738531,0.0073174448661985,0.0149303749203682,20.8445434570313,13.9996356964111,14.0004739761353,0,0,,,5.59572982788086,,1,,,,,,1,1,1,14.0000696182251,0,0,14.0000128064837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465887.45315,13.9998741149902,0,,,5,,,,31.5000005066395,,,,,3.08134499033066E-6,2.5107319301238E-8,43.624249866501,0.0278131524598044,1.54071527331199E-6,1.25540082141815E-8,1.11529285186912E-6,9.71021693899224E-9,1.06297949556258E-6,7.95706033906023E-9,1.99994446975713,11.2610988616943,2,22,1,5,0.00701020150281902,0.00827656789536885,0.0138492211699486,18.7139892578125,13.9997482299805,14.0004167556763,0,0,,,5.58296394348145,,1,,,,,,1,1,1,13.999885559082,0,0,14.0000227746509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
