[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3720609901.29649,11/23/2017,1:47 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Er(COT)I(THF)2,SAMPLE_MATERIAL
INFO,pink cyrstalline powder in 28.8 mg eicosane,SAMPLE_COMMENT
INFO,26.3,SAMPLE_MASS
INFO,28.8,SAMPLE_VOLUME
INFO,542.53,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720610439.83015,11.0999212265015,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.2700748689952E-5,1.41094654331902E-8,6.51346720108033,0.000121212841046289,4.63407906589694E-5,7.05327403704456E-9,4.60416710574263E-5,4.22689513555755E-9,5.25674853290302E-6,5.64641763905635E-9,2.0004136177165,92.4775085449219,2,184,1,5,0.316458924596924,0.0764774322857768,0.0251258723437786,9.22964477539063,11.0988597869873,11.1014842987061,-0.232215464115143,-0.232215464115143,,,0.284460157155991,0,1,,,,,,1,1,3,11.0999126434326,0,0,11.1000221298962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610478.31699,11.0998449325562,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.29431548888814E-5,1.62123239926955E-8,5.16457303764413,0.000100175728093545,4.64629412387924E-5,8.10465555981455E-9,4.62743132163907E-5,6.73922362968935E-9,4.18244484851192E-6,4.50203360852288E-9,2.00037174597294,72.6609039306641,2,145,1,5,0.317970158282294,0.0739264003427866,0.0244768690317869,11.6737670898438,11.0989360809326,11.1015005111694,-0.232215464115143,-0.232215464115143,,,0.284298002719879,0,1,,,,,,1,1,3,11.0998086929321,0,0,11.1000056266785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610516.83201,11.0999574661255,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.29698426151137E-5,8.14218606775343E-9,4.14814672178321,6.42149353552287E-5,4.64912246838438E-5,4.07164507592756E-9,4.63694339529475E-5,2.77845814356116E-9,3.3629700395467E-6,2.97631718215714E-9,1.99972883586828,57.4448547363281,2,114,1,5,0.318383876511249,0.07273315515182,0.0236215088516474,14.2165222167969,11.0989017486572,11.1014490127563,-0.232215464115143,-0.232215464115143,,,0.284273862838745,0,1,,,,,,1,1,3,11.1000318527222,0,0,11.099985423841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610555.60155,11.0999083518982,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.32425715941984E-5,8.96285917418831E-9,3.35298817598202,6.54774904911884E-5,4.66205409999769E-5,4.48135799413391E-9,4.65407337867924E-5,3.30468457166007E-9,2.72670895356429E-6,3.02681835487692E-9,2.00003195145772,45.2112274169922,2,90,1,5,0.319592061588619,0.0719874486101122,0.0224774535745382,16.7857055664062,11.0989961624146,11.1014337539673,-0.232215464115143,-0.232215464115143,,,0.284123480319977,0,1,,,,,,1,1,3,11.0998840332031,0,0,11.0999319929826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610594.3709,11.0998935699463,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.33854610377461E-5,1.26867106957437E-8,2.74056268391526,0.000117624152480007,4.66989170517037E-5,6.34419580795378E-9,4.66455063571014E-5,3.12581229014763E-9,2.23284358868216E-6,5.52069904780366E-9,1.99973504598302,35.5890121459961,2,71,1,5,0.320559238203193,0.0702715848398344,0.0210405625402927,19.0458068847656,11.0989351272583,11.1013374328613,-0.232215464115143,-0.232215464115143,,,0.284106582403183,0,1,,,,,,1,1,3,11.0999555587769,0,0,11.0999604777286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610633.09811,11.09983253479,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.35120785487879E-5,9.98874539300796E-9,2.27931734212804,6.80406334572777E-5,4.67550715892827E-5,4.99426933060358E-9,4.67180797624451E-5,3.87516990174346E-9,1.85950063962463E-6,3.15052128690303E-9,2.000041393803,28.1268005371094,2,56,1,5,0.321790147896279,0.067046691975502,0.0194927677512169,20.6250915527344,11.099118232727,11.1014738082886,-0.232215464115143,-0.232215464115143,,,0.284024387598038,0,1,,,,,,1,1,3,11.0999212265015,0,0,11.1000394068266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610671.62952,11.0999522209167,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.35507860735202E-5,1.78991542045531E-8,1.91003526986451,0.000150888114656934,4.67770973043262E-5,8.94990318128938E-9,4.67511076465071E-5,5.49672424228875E-9,1.55909141589386E-6,7.06305808829922E-9,1.99992713239323,22.1141872406006,2,44,1,5,0.323062348230614,0.0619062351190191,0.0178688000887632,21.2749633789062,11.0989685058594,11.1015787124634,-0.232215464115143,-0.232215464115143,,,0.284086018800735,0,1,,,,,,1,1,3,11.1001138687134,0,0,11.1000774283158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610710.09954,11.0998458862305,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.35476533291239E-5,1.74483322412163E-8,1.64219746359333,7.92758677253185E-5,4.67766218144224E-5,8.72468746669961E-9,4.6757409724244E-5,7.94026715675286E-9,1.34051641118981E-6,3.61556757245346E-9,1.9998804894517,17.4386157989502,2,34,1,5,0.324329349540717,0.0555202690842921,0.0163572262972593,20.8279113769531,11.0988445281982,11.1013593673706,-0.232215464115143,-0.232215464115143,,,0.28390696644783,0,1,,,,,,1,1,3,11.0997562408447,0,0,11.1000265322234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610748.76002,11.0997786521912,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.37875101311566E-5,2.19718945752071E-8,1.43042061511704,0.000162206200449821,4.68938673500012E-5,1.09859735928279E-8,4.68792541356795E-5,7.93688577608212E-9,1.17060955142292E-6,7.59588440931918E-9,1.9999952111255,13.746657371521,2,27,1,5,0.32643344017875,0.0485294531680469,0.0151070486754179,19.3622436523438,11.0991125106812,11.1014089584351,-0.232215464115143,-0.232215464115143,,,0.283893555402756,0,1,,,,,,1,1,3,11.0997085571289,0,0,11.0999773128613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610787.21355,11.0998997688293,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.41773094188243E-5,2.41381506287926E-8,1.27391888045253,0.000133151402328593,4.70868430398241E-5,1.20686109737427E-8,4.70752047284944E-5,1.03346116309411E-8,1.04684632462365E-6,6.23275005701024E-9,2.00007695014025,10.8218364715576,2,21,1,5,0.328910217485711,0.0415844975815245,0.0141287492588162,17.1522827148438,11.0989389419556,11.1015062332153,-0.232215464115143,-0.232215464115143,,,0.283821165561676,0,1,,,,,,1,1,3,11.0999536514282,0,0,11.100000281083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
